time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-10T07:05:27.360Z,33.4943333,-116.7998333,3.06,1.79,ml,69,32,0.08805,0.23,ci,ci38170160,2018-05-10T07:09:02.147Z,"8km NE of Aguanga, CA",earthquake,0.19,0.78,0.126,25,automatic,ci,ci
2018-05-10T07:04:55.820Z,38.398,-118.9155,9.6,1.7,ml,22,95.28,0.137,0.28,nn,nn00634414,2018-05-10T07:06:37.638Z,"29km WSW of Hawthorne, Nevada",earthquake,,3.6,,,automatic,nn,nn
2018-05-10T07:03:12.630Z,19.4818325,-154.8690033,-0.19,2.59,ml,9,131,0.01852,0.13,hv,hv70139312,2018-05-10T07:08:46.590Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.37,0.28,0.1,3,automatic,hv,hv
2018-05-10T07:00:15.370Z,19.4066658,-155.2689972,1.6,1.98,md,16,61,0.008835,0.13,hv,hv70139302,2018-05-10T07:03:19.650Z,"4km SW of Volcano, Hawaii",earthquake,0.23,0.32,,4,automatic,hv,hv
2018-05-10T06:59:48.910Z,19.4885006,-154.8603363,0.49,2.43,ml,6,131,0.01249,0.12,hv,hv70139297,2018-05-10T07:05:28.290Z,"5km ESE of Nanawale Estates, Hawaii",earthquake,0.24,0.26,0.3,3,automatic,hv,hv
2018-05-10T06:58:11.032Z,62.9457,-149.7156,11.3,1.6,ml,,,,0.79,ak,ak19408928,2018-05-10T07:04:07.684Z,"62km SW of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-05-10T06:56:07.350Z,19.4794998,-154.8704987,-0.12,2.86,ml,10,155,0.01706,0.22,hv,hv70139282,2018-05-10T07:01:43.630Z,"5km ENE of Leilani Estates, Hawaii",earthquake,0.61,0.26,0.31,3,automatic,hv,hv
2018-05-10T06:54:16.780Z,19.4908333,-154.8743333,1.67,2.43,ml,6,118,0.01704,0.06,hv,hv70139272,2018-05-10T07:09:57.980Z,"4km ESE of Nanawale Estates, Hawaii",earthquake,0.46,0.33,0.103,7,reviewed,hv,hv
2018-05-10T06:52:43.344Z,58.2538,-155.0474,0,1.6,ml,,,,0.59,ak,ak19408926,2018-05-10T06:58:55.982Z,"101km NW of Larsen Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-05-10T06:50:54.290Z,33.9248333,-116.9201667,22.34,0.77,ml,16,99,0.1368,0.2,ci,ci38170152,2018-05-10T06:54:40.358Z,"4km W of Banning, CA",earthquake,0.46,1.23,0.178,23,automatic,ci,ci
2018-05-10T06:45:02.384Z,64.944,-151.6451,7.9,1.1,ml,,,,0.28,ak,ak19408924,2018-05-10T06:51:33.899Z,"32km SE of Tanana, Alaska",earthquake,,0.9,,,automatic,ak,ak
2018-05-10T06:38:51.840Z,19.4453335,-154.7796631,6.66,2.4,ml,6,299,0.0588,0.1,hv,hv70139212,2018-05-10T06:44:28.150Z,"14km E of Leilani Estates, Hawaii",earthquake,1.41,0.71,3.63,4,automatic,hv,hv
